cfg_wr_period,cfg_wr_thresh,cfg_sma_period,cfg_mfi_filter,cfg_rsi_filter,cfg_vol_filter,cfg_dd_filter,cfg_streak_filter,cfg_exit_mode,cfg_max_hold,cfg_profit_target,label,is_n,is_avg,is_win,is_sharpe,is_pf,oos_n,oos_avg,oos_win,oos_sharpe,oos_pf,avg_hold,avg_peak,avg_dd,cfg_stop_loss,cfg_trail_atr,cfg_hold_days,cfg_breadth_mode
30,-30,20,accumulating,,,moderate,,bbw_contract,30.0,,"WR(30,-30) | MFI:accumulating | DD:moderate | bbw_contract",31,2.0674,77.4,1.29,2.38,21,3.1866,85.7,3.84,8.87,11.6,4.4,-3.2,,,,
30,-30,20,accumulating,,not_dry,moderate,,bbw_contract,30.0,,"WR(30,-30) | MFI:accumulating | VOL:not_dry | DD:moderate | bbw_contract",31,2.0674,77.4,1.29,2.38,21,3.1866,85.7,3.84,8.87,11.6,4.4,-3.2,,,,
30,-30,20,accumulating,,not_dry,,,bbw_pt,30.0,5.0,"WR(30,-30) | MFI:accumulating | VOL:not_dry | bbw_pt | PT5%",42,0.8176,69.0,0.77,1.53,28,2.4408,82.1,3.81,6.36,10.3,2.95,-3.06,,,,
30,-30,20,not_weak,,,moderate,any,bbw_pt,30.0,5.0,"WR(30,-30) | MFI:not_weak | DD:moderate | STR:any | bbw_pt | PT5%",29,2.9278,89.7,3.03,4.29,20,2.7572,85.0,3.78,5.32,10.4,4.0,-2.61,,,,
30,-40,20,accumulating,,,,,bbw_pt,30.0,3.0,"WR(30,-40) | MFI:accumulating | bbw_pt | PT3%",45,1.6699,84.4,1.68,2.58,31,2.3146,80.6,3.73,6.08,8.2,2.91,-2.43,,,,
30,-40,20,not_weak,,not_dry,deep,,bbw_pt,30.0,3.0,"WR(30,-40) | MFI:not_weak | VOL:not_dry | DD:deep | bbw_pt | PT3%",24,2.7671,83.3,3.08,4.18,16,2.9298,93.8,3.7,5.76,7.3,3.79,-2.72,,,,
30,-40,20,accumulating,,,moderate,,bbw_contract,30.0,,"WR(30,-40) | MFI:accumulating | DD:moderate | bbw_contract | SL8%",32,2.2176,75.0,1.52,2.7,22,3.4079,81.8,3.7,8.71,11.1,4.69,-2.99,8.0,,,
30,-40,20,accumulating,,not_dry,moderate,,bbw_contract,30.0,,"WR(30,-40) | MFI:accumulating | VOL:not_dry | DD:moderate | bbw_contract | SL8%",32,2.2176,75.0,1.52,2.7,22,3.4079,81.8,3.7,8.71,11.1,4.69,-2.99,8.0,,,
30,-40,20,not_weak,,,moderate,any,bbw_pt,30.0,3.0,"WR(30,-40) | MFI:not_weak | DD:moderate | STR:any | bbw_pt | PT3%",30,2.8774,90.0,3.17,4.4,20,2.2903,85.0,3.67,4.59,8.9,3.56,-2.48,,,,
30,-30,20,accumulating,oversold,,,,bbw_pt,30.0,5.0,"WR(30,-30) | MFI:accumulating | RSI:oversold | bbw_pt | PT5%",14,-1.2115,42.9,-1.39,0.4,10,2.4185,70.0,3.64,4.97,11.9,2.38,-3.82,,,,
