cfg_wr_period,cfg_wr_thresh,cfg_sma_period,cfg_mfi_filter,cfg_bbw_filter,cfg_adx_filter,cfg_adx_mode,cfg_exit_mode,cfg_max_hold,label,is_n,is_avg,is_win,is_sharpe,is_pf,oos_n,oos_avg,oos_win,oos_sharpe,oos_pf,avg_hold,avg_peak,avg_dd,cfg_hold_days
30,-40,20,accumulating,not_expanded,20.0,above,sma_break,25.0,"WR(30,-40) SMA20 MFI:accumulating BBW:not_expanded ADXa20 sma_break",18,0.5429,77.8,0.52,1.39,13,2.7125,92.3,4.44,27.89,8.9,2.7,-2.81,
30,-30,20,not_weak,not_expanded,20.0,above,fixed,,"WR(30,-30) SMA20 MFI:not_weak BBW:not_expanded ADXa20 fixed20",25,1.7941,64.0,1.38,2.14,17,4.8233,82.4,4.43,11.2,20.0,5.9,-3.06,20.0
30,-50,20,accumulating,not_expanded,20.0,above,adaptive,30.0,"WR(30,-50) SMA20 MFI:accumulating BBW:not_expanded ADXa20 adaptive",22,1.0895,50.0,1.29,1.93,15,1.6492,80.0,4.39,16.16,7.5,3.24,-1.53,
20,-50,20,not_weak,not_expanded,20.0,above,fixed,,"WR(20,-50) SMA20 MFI:not_weak BBW:not_expanded ADXa20 fixed20",25,1.6223,64.0,1.22,1.91,17,4.7697,82.4,4.38,11.08,20.0,5.95,-3.06,20.0
14,-50,20,not_weak,not_expanded,20.0,above,bbw_contract,30.0,"WR(14,-50) SMA20 MFI:not_weak BBW:not_expanded ADXa20 bbw_contract",28,1.8194,67.9,1.21,2.56,20,2.6945,95.0,4.37,18.81,13.1,4.1,-2.9,
20,-30,20,not_weak,not_expanded,20.0,above,fixed,,"WR(20,-30) SMA20 MFI:not_weak BBW:not_expanded ADXa20 fixed20",25,1.5191,64.0,1.15,1.86,18,4.5284,83.3,4.34,11.14,20.0,5.72,-3.14,20.0
20,-50,10,not_weak,not_expanded,20.0,above,fixed,,"WR(20,-50) SMA10 MFI:not_weak BBW:not_expanded ADXa20 fixed20",23,1.236,60.9,0.93,1.65,16,4.8683,81.2,4.34,10.69,20.0,5.8,-3.14,20.0
30,-30,20,,not_expanded,20.0,above,bbw_contract,30.0,"WR(30,-30) SMA20 BBW:not_expanded ADXa20 bbw_contract",30,1.0609,73.3,1.08,2.03,20,2.7851,90.0,4.34,15.57,12.0,3.51,-2.74,
14,-50,20,not_weak,not_expanded,20.0,above,fixed,,"WR(14,-50) SMA20 MFI:not_weak BBW:not_expanded ADXa20 fixed20",25,1.4484,64.0,1.12,1.83,17,4.6069,82.4,4.3,10.74,20.0,5.65,-3.2,20.0
30,-40,10,,squeeze,20.0,above,bbw_contract,30.0,"WR(30,-40) SMA10 BBW:squeeze ADXa20 bbw_contract",13,1.9388,84.6,3.8,8.23,10,2.7478,90.0,4.29,17.25,10.6,3.89,-1.68,
